iter	Passed	Remaining
207	72520	101806
208	72824	101397
209	73174	101051
210	73490	100657
211	73817	100280
212	74178	99949
213	74493	99556
214	74827	99189
215	75163	98825
216	75500	98464
217	75840	98105
218	76186	97754
219	76523	97392
220	76919	97107
221	77305	96806
222	78106	97020
223	78443	96653
224	79218	96823
225	79592	96497
226	79933	96131
227	80281	95774
228	80598	95380
229	80921	94995
230	81230	94592
231	81540	94193
232	81851	93795
233	82171	93408
234	82497	93028
235	82842	92670
236	83164	92287
237	83473	91890
238	83790	91503
239	84095	91103
240	84408	90713
241	84757	90360
242	85084	89986
243	85410	89610
244	85711	89209
245	86057	88855
246	86367	88465
247	86685	88083
248	87005	87704
249	87332	87332
250	87636	86938
251	87963	86567
252	88269	86176
253	88590	85800
254	88906	85420
255	89244	85060
256	89559	84680
257	89875	84302
258	90204	83935
259	90511	83549
260	90837	83181
261	91170	82819
262	91503	82457
263	91848	82107
264	92181	81745
265	92492	81365
266	92806	80988
267	93127	80617
268	93451	80250
269	93769	79878
270	94110	79524
271	94437	79160
272	94762	78795
273	95083	78426
274	95396	78051
275	95716	77682
276	96034	77313
277	96348	76940
278	96681	76583
279	97001	76215
280	97316	75844
281	97640	75481
282	97973	75124
283	98331	74787
284	98634	74408
285	98950	74039
286	99258	73665
287	99568	73293
288	99891	72931
289	100216	72570
290	100522	72196
291	100850	71838
292	101164	71471
293	101477	71103
294	101798	70741
295	102116	70377
296	102457	70029
297	102781	69670
298	103103	69310
299	103427	68951
300	103748	68591
301	104092	68245
302	104420	67890
303	104741	67530
304	105073	67177
305	105401	66823
306	105728	66467
307	106066	66119
308	106428	65785
309	106783	65448
310	107162	65124
311	107493	64771
312	107816	64414
313	108135	64054
314	108448	63691
315	108781	63340
316	109096	62980
317	109413	62620
318	109768	62282
319	110094	61928
320	110440	61585
321	110768	61232
322	111078	60869
323	111402	60515
324	111721	60157
325	112069	59816
326	112387	59458
327	112709	59103
328	113034	58750
329	113369	58402
330	113734	58070
331	114121	57748
332	114479	57411
333	114812	57062
334	115165	56723
335	115523	56386
336	115867	56042
337	116184	55686
338	116500	55329
339	116832	54980
340	117148	54623
341	117460	54265
342	117787	53914
343	118093	53553
344	118421	53203
345	118745	52852
346	119048	52491
347	119358	52133
348	119679	51781
349	120004	51430
350	120323	51077
351	120650	50727
352	120965	50373
353	121273	50016
354	121597	49666
355	121920	49316
356	122243	48965
357	122258	48493
358	122577	48143
359	122893	47792
360	123214	47442
361	123524	47089
362	123844	46740
363	124170	46393
364	124482	46041
365	124808	45694
366	125127	45345
367	125457	45000
368	125787	44656
369	126111	44309
370	126537	43998
371	126918	43671
372	127235	43321
373	127561	42975
374	127894	42631
375	128275	42303
376	128623	41964
377	128988	41631
378	129330	41290
379	129703	40959
380	130096	40633
381	130418	40286
382	130724	39934
383	131041	39585
384	131351	39234
385	131668	38886
386	132010	38545
387	132315	38194
388	132627	37844
389	132939	37495
390	133254	37147
391	133575	36801
392	133900	36456
393	134212	36107
394	134523	35759
395	134842	35413
396	135151	35064
397	135493	34724
398	135807	34377
399	136119	34029
400	136439	33684
401	136761	33339
402	137073	32992
403	137374	32643
404	137680	32295
405	138015	31954
406	138346	31612
407	138664	31267
408	138988	30924
409	139305	30579
410	139622	30234
411	139932	29888
412	140248	29543
413	140574	29201
414	140892	28857
415	141201	28511
416	141524	28169
417	141855	27828
418	142169	27483
419	142473	27137
420	142791	26794
421	143166	26461
422	143474	26117
423	143845	25783
424	144155	25439
425	144456	25093
426	144785	24752
427	145084	24406
428	145393	24062
429	145722	23722
430	146036	23379
431	146333	23033
432	146635	22689
433	146942	22346
434	147306	22011
435	147612	21667
436	147924	21325
437	148222	20981
438	148540	20639
439	148846	20297
440	149154	19954
441	149462	19612
442	149767	19270
443	150071	18927
444	150398	18588
445	150710	18247
446	151030	17907
447	151330	17565
448	151648	17225
449	151958	16884
450	152263	16543
451	152596	16204
452	152912	15865
453	153215	15524
454	153528	15184
455	153847	14844
456	154154	14504
457	154489	14167
458	154821	13829
459	155120	13488
460	155438	13149
461	155756	12811
462	156063	12471
463	156379	12132
464	156693	11794
465	157003	11455
466	157308	11116
467	157621	10777
468	157934	10439
469	158241	10100
470	158553	9762
471	158863	9424
472	159164	9085
473	159477	8747
474	159773	8409
475	160076	8071
476	160392	7733
477	160710	7396
478	161021	7059
479	161332	6722
480	161642	6385
481	161958	6048
482	162267	5711
483	162566	5374
484	162882	5037
485	163186	4700
486	163489	4364
487	163806	4028
488	164115	3691
489	164427	3355
490	164735	3019
491	165036	2683
492	165352	2347
493	165648	2011
494	165965	1676
495	166266	1340
496	166570	1005
497	166875	670
498	167188	335
499	167492	0
